epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,4653.59,0.6602,1.13348,0.59191,0.91161,0,0.94342,0.89063,0.9514,0.80079,0.93421,0.87894,0.93373,0.72853,0.53658,0.8255,0.42525,0.86665,0,0.000357893,0.000357893,0.000357893
29,4811.09,0.6582,1.13457,0.58675,0.91261,0,0.93953,0.88551,0.95136,0.80437,0.93325,0.87874,0.93883,0.7344,0.52798,0.81326,0.42558,0.86569,0,0.000342666,0.000342666,0.000342666
30,4992.99,0.65411,1.1119,0.57573,0.9107,0,0.9311,0.89448,0.95412,0.80232,0.9298,0.87882,0.94025,0.73719,0.52088,0.78238,0.42077,0.86088,0,0.00032744,0.00032744,0.00032744
31,5175.71,0.65034,1.09974,0.57488,0.90787,0,0.92968,0.89738,0.95565,0.80491,0.9242,0.88509,0.93937,0.73678,0.5216,0.78663,0.41582,0.8643,0,0.000312214,0.000312214,0.000312214
32,5332.07,0.64404,1.08387,0.56234,0.90505,0,0.94979,0.89972,0.96138,0.8171,0.94393,0.89142,0.95123,0.75238,0.50674,0.76127,0.39538,0.85869,0,0.000296988,0.000296988,0.000296988
33,5489.68,0.63813,1.07768,0.55383,0.90486,0,0.95143,0.88719,0.96025,0.81404,0.94859,0.88062,0.9444,0.7465,0.51089,0.77747,0.40235,0.85616,0,0.000281762,0.000281762,0.000281762
34,5647.77,0.63192,1.06697,0.54279,0.90331,0,0.95197,0.88949,0.95978,0.81533,0.93553,0.89792,0.94786,0.74405,0.50566,0.7775,0.39354,0.85709,0,0.000266535,0.000266535,0.000266535
35,5809.58,0.62738,1.03819,0.54236,0.90171,0,0.94291,0.89599,0.96002,0.8162,0.93575,0.88987,0.9459,0.74538,0.50239,0.77558,0.38964,0.85631,0,0.000251309,0.000251309,0.000251309
36,5967.28,0.62296,1.04164,0.53701,0.89917,0,0.94618,0.90707,0.9612,0.81988,0.94536,0.90011,0.95074,0.75583,0.50031,0.76212,0.38539,0.85293,0,0.000236083,0.000236083,0.000236083
37,6125.25,0.61843,1.04683,0.52522,0.8991,0,0.94477,0.90446,0.9621,0.82245,0.95048,0.88863,0.9485,0.75323,0.49868,0.76329,0.38051,0.85158,0,0.000220857,0.000220857,0.000220857
38,6307.3,0.60799,1.01811,0.51732,0.89381,0,0.95395,0.90145,0.96351,0.8259,0.94474,0.89618,0.95156,0.75497,0.48524,0.74382,0.37673,0.84795,0,0.000205631,0.000205631,0.000205631
39,6497.29,0.60094,0.99999,0.51373,0.89296,0,0.95023,0.90213,0.96505,0.82638,0.94826,0.90348,0.95476,0.75294,0.48172,0.7337,0.37278,0.84764,0,0.000190404,0.000190404,0.000190404
40,6657.27,0.6,1.00014,0.51171,0.88991,0,0.94803,0.91251,0.96711,0.83176,0.94851,0.90589,0.95639,0.76754,0.47546,0.72108,0.36729,0.84471,0,0.000175178,0.000175178,0.000175178
41,6802.59,0.54369,0.87644,0.42286,0.8658,0,0.95338,0.9075,0.96545,0.8263,0.9529,0.89565,0.95235,0.75717,0.49409,0.74261,0.37399,0.85057,0,0.000159952,0.000159952,0.000159952
42,6968.62,0.52933,0.8538,0.4098,0.85909,0,0.94469,0.92195,0.96891,0.83255,0.94169,0.90868,0.95512,0.75962,0.48089,0.74378,0.36368,0.84648,0,0.000144726,0.000144726,0.000144726
43,7133.73,0.52469,0.82961,0.40071,0.86028,0,0.94712,0.92278,0.97018,0.83382,0.95053,0.90763,0.95713,0.76574,0.47323,0.72834,0.36053,0.84539,0,0.0001295,0.0001295,0.0001295
44,7273.96,0.51878,0.82153,0.39684,0.85895,0,0.95615,0.9187,0.96978,0.83693,0.9525,0.90555,0.95691,0.76404,0.4704,0.71886,0.3594,0.8426,0,0.000114273,0.000114273,0.000114273
45,7418.33,0.51077,0.82023,0.39114,0.85257,0,0.94743,0.92943,0.97215,0.84126,0.94347,0.91735,0.96063,0.77046,0.46564,0.70973,0.35525,0.84079,0,9.90472e-05,9.90472e-05,9.90472e-05
46,7584.51,0.5045,0.81612,0.38556,0.85223,0,0.95777,0.9223,0.97187,0.84378,0.95755,0.90928,0.96248,0.77314,0.46112,0.7066,0.34773,0.84073,0,8.3821e-05,8.3821e-05,8.3821e-05
47,7747.58,0.50061,0.80907,0.38102,0.84851,0,0.96243,0.92181,0.97302,0.84262,0.95853,0.91146,0.96279,0.77141,0.4607,0.70006,0.34721,0.84069,0,6.85948e-05,6.85948e-05,6.85948e-05
48,7887.58,0.49076,0.78706,0.37363,0.84952,0,0.9677,0.91675,0.97291,0.84517,0.96201,0.90896,0.96147,0.77359,0.45511,0.69732,0.34239,0.83846,0,5.33686e-05,5.33686e-05,5.33686e-05
49,8033.23,0.4925,0.79261,0.3712,0.84777,0,0.95082,0.92621,0.97339,0.84603,0.94667,0.91851,0.96028,0.77218,0.45393,0.69617,0.34133,0.83761,0,3.81424e-05,3.81424e-05,3.81424e-05
50,8199.24,0.48019,0.78062,0.36591,0.84439,0,0.96376,0.91551,0.97362,0.84731,0.95634,0.90818,0.96257,0.77519,0.44856,0.68561,0.33754,0.83568,0,2.29162e-05,2.29162e-05,2.29162e-05
