epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
31,894.545,0.30012,0.39973,0.25682,0.8425,0,0.83482,0.78463,0.82685,0.80371,0.92766,0.80352,0.85068,0.8072,0.19937,0.30202,0.34459,0.79582,0,0.000312214,0.000312214,0.000312214
32,922.37,0.29401,0.38432,0.24756,0.83936,0,0.88489,0.80769,0.89956,0.84129,0.88489,0.80769,0.89956,0.84288,0.20209,0.30426,0.29003,0.79708,0,0.000296988,0.000296988,0.000296988
33,949.245,0.28526,0.41677,0.24727,0.8405,0,0.94646,0.8625,0.9347,0.86794,0.94646,0.8625,0.9347,0.87759,0.20767,0.30096,0.26975,0.79337,0,0.000281762,0.000281762,0.000281762
34,975.517,0.28436,0.3916,0.23666,0.83686,0,0.93933,0.86538,0.92303,0.85511,0.93933,0.86538,0.92303,0.86006,0.19648,0.31266,0.29035,0.79573,0,0.000266535,0.000266535,0.000266535
35,1001.23,0.28372,0.39443,0.24424,0.83529,0,0.90794,0.82692,0.92136,0.83402,0.90794,0.82692,0.92136,0.84878,0.21687,0.32861,0.30188,0.80824,0,0.000251309,0.000251309,0.000251309
36,1027.2,0.28118,0.37666,0.23062,0.83577,0,0.84119,0.86538,0.90884,0.83649,0.84119,0.86538,0.90884,0.84615,0.20214,0.3057,0.27582,0.8039,0,0.000236083,0.000236083,0.000236083
37,1053.12,0.27519,0.35805,0.22989,0.84064,0,0.87333,0.84254,0.90608,0.83109,0.87333,0.84254,0.90608,0.83855,0.1992,0.31316,0.29343,0.79872,0,0.000220857,0.000220857,0.000220857
38,1078.62,0.28586,0.3987,0.23872,0.84273,0,0.80784,0.86538,0.95128,0.84899,0.81231,0.86538,0.93609,0.86038,0.20239,0.31896,0.28281,0.79995,0,0.000205631,0.000205631,0.000205631
39,1103.92,0.28154,0.35458,0.23779,0.84017,0,0.89492,0.82692,0.94888,0.84876,0.89492,0.82692,0.94888,0.8553,0.20292,0.32729,0.30336,0.80038,0,0.000190404,0.000190404,0.000190404
40,1130.17,0.27225,0.37204,0.22931,0.83587,0,0.9198,0.85624,0.95123,0.87896,0.88266,0.87209,0.97917,0.87871,0.20012,0.31576,0.25278,0.7962,0,0.000175178,0.000175178,0.000175178
41,1155.02,0.22256,0.31671,0.19083,0.79482,0,0.86853,0.88895,0.94391,0.87886,0.89824,0.91031,0.97393,0.88407,0.1982,0.31158,0.27903,0.79669,0,0.000159952,0.000159952,0.000159952
42,1179.94,0.21553,0.30196,0.18555,0.79494,0,0.89614,0.88176,0.94044,0.8658,0.89614,0.88176,0.95675,0.87507,0.20082,0.31309,0.27074,0.79843,0,0.000144726,0.000144726,0.000144726
43,1205.42,0.21522,0.29444,0.18237,0.79675,0,0.84555,0.8471,0.92386,0.85657,0.84555,0.8471,0.92809,0.86446,0.19268,0.30014,0.29133,0.79307,0,0.0001295,0.0001295,0.0001295
44,1230.27,0.21066,0.28838,0.18697,0.79124,0,0.83576,0.8688,0.93494,0.86236,0.83576,0.8688,0.94087,0.86561,0.19899,0.30967,0.27433,0.79356,0,0.000114273,0.000114273,0.000114273
45,1254.85,0.2052,0.29622,0.1768,0.79237,0,0.88324,0.82692,0.87998,0.8263,0.88324,0.82692,0.87998,0.83326,0.18919,0.3096,0.31056,0.796,0,9.90472e-05,9.90472e-05,9.90472e-05
46,1284.49,0.1991,0.28935,0.17207,0.78888,0,0.89442,0.82692,0.88026,0.83055,0.89442,0.82692,0.88026,0.84253,0.18497,0.31009,0.2965,0.79445,0,8.3821e-05,8.3821e-05,8.3821e-05
47,1314.75,0.20454,0.2939,0.17434,0.79668,0,0.86779,0.85206,0.92438,0.85462,0.86779,0.85206,0.92438,0.86398,0.18064,0.31014,0.2687,0.79065,0,6.85948e-05,6.85948e-05,6.85948e-05
48,1345.02,0.19653,0.28778,0.16961,0.78604,0,0.88178,0.86538,0.93301,0.86148,0.88178,0.86538,0.93301,0.87031,0.17793,0.30626,0.27298,0.78997,0,5.33686e-05,5.33686e-05,5.33686e-05
49,1375.54,0.19784,0.28922,0.1697,0.78862,0,0.90956,0.86064,0.93313,0.86387,0.90956,0.86064,0.93313,0.87265,0.17823,0.30795,0.27257,0.79234,0,3.81424e-05,3.81424e-05,3.81424e-05
50,1405.32,0.19201,0.28645,0.16303,0.7926,0,0.88605,0.84615,0.92159,0.85865,0.88605,0.84615,0.92159,0.86459,0.17565,0.30316,0.28044,0.7918,0,2.29162e-05,2.29162e-05,2.29162e-05
