epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,758.862,0.32924,0.43254,0.3522,0.84337,0,0.84825,0.8033,0.9105,0.84245,0.84825,0.8033,0.9105,0.84173,0.2398,0.3944,0.38919,0.80137,0,0.000357893,0.000357893,0.000357893
29,784.422,0.32539,0.44169,0.35097,0.85447,0,0.90137,0.82692,0.90182,0.86446,0.90137,0.82692,0.90182,0.86192,0.21764,0.33463,0.35453,0.79691,0,0.000342666,0.000342666,0.000342666
30,810.017,0.31324,0.39709,0.33827,0.84082,0,0.82378,0.87243,0.89639,0.85672,0.82378,0.87243,0.89639,0.86948,0.20791,0.32812,0.36187,0.79409,0,0.00032744,0.00032744,0.00032744
31,835.913,0.32255,0.4104,0.33855,0.84428,0,0.8767,0.80769,0.85551,0.8197,0.8767,0.80769,0.85551,0.82427,0.23658,0.38288,0.39553,0.80616,0,0.000312214,0.000312214,0.000312214
32,861.916,0.31569,0.39855,0.3261,0.84261,0,0.88445,0.86538,0.93182,0.87021,0.88445,0.86538,0.92862,0.86951,0.21148,0.34898,0.33994,0.79167,0,0.000296988,0.000296988,0.000296988
33,888.14,0.30567,0.42491,0.32044,0.84165,0,0.8377,0.84615,0.8991,0.85123,0.84454,0.85036,0.89789,0.8431,0.22464,0.39657,0.34324,0.79268,0,0.000281762,0.000281762,0.000281762
34,915.827,0.29444,0.40364,0.30596,0.83357,0,0.85285,0.82692,0.88919,0.84801,0.84765,0.85301,0.90023,0.85659,0.21998,0.35552,0.37832,0.80328,0,0.000266535,0.000266535,0.000266535
35,944.078,0.3011,0.39991,0.31134,0.8353,0,0.85258,0.80769,0.84978,0.8238,0.85258,0.80769,0.84978,0.82134,0.2036,0.36551,0.3804,0.79419,0,0.000251309,0.000251309,0.000251309
36,972.366,0.29269,0.38327,0.30091,0.83433,0,0.88616,0.80769,0.85873,0.82034,0.88616,0.80769,0.85873,0.82082,0.20555,0.40091,0.38195,0.79732,0,0.000236083,0.000236083,0.000236083
37,1000.01,0.28652,0.36863,0.29528,0.84174,0,0.93963,0.81547,0.87287,0.83474,0.93963,0.81547,0.87287,0.82707,0.21452,0.37883,0.36671,0.79891,0,0.000220857,0.000220857,0.000220857
38,1027.54,0.29489,0.39859,0.29876,0.83987,0,0.91015,0.82692,0.86182,0.81692,0.91015,0.82692,0.86182,0.81537,0.22781,0.38884,0.3726,0.81117,0,0.000205631,0.000205631,0.000205631
39,1054.13,0.29121,0.36353,0.29339,0.83764,0,0.92443,0.80769,0.87154,0.82002,0.92443,0.80769,0.87154,0.82298,0.21425,0.33045,0.39234,0.80702,0,0.000190404,0.000190404,0.000190404
40,1080.96,0.27951,0.36743,0.28428,0.83403,0,0.83988,0.89679,0.9213,0.87554,0.83988,0.89679,0.92476,0.87415,0.19257,0.33602,0.32151,0.78968,0,0.000175178,0.000175178,0.000175178
41,1105.12,0.22907,0.32194,0.27589,0.79309,0,0.92938,0.88462,0.91918,0.87872,0.92938,0.88462,0.91918,0.87321,0.20156,0.33235,0.30135,0.78859,0,0.000159952,0.000159952,0.000159952
42,1128.88,0.2248,0.3027,0.26083,0.79444,0,0.89729,0.84615,0.88966,0.85212,0.89729,0.84615,0.88966,0.8444,0.21375,0.37237,0.32028,0.79286,0,0.000144726,0.000144726,0.000144726
43,1153.05,0.22449,0.29823,0.25472,0.7956,0,0.89392,0.84672,0.89952,0.85876,0.89392,0.84672,0.89952,0.85985,0.18515,0.33292,0.33184,0.78621,0,0.0001295,0.0001295,0.0001295
44,1176.73,0.21424,0.28958,0.25082,0.78947,0,0.9054,0.84732,0.90034,0.86153,0.9054,0.84732,0.90034,0.85938,0.18744,0.33733,0.31823,0.78907,0,0.000114273,0.000114273,0.000114273
45,1200.1,0.20972,0.28931,0.24134,0.78816,0,0.89175,0.83644,0.88429,0.84056,0.89175,0.83644,0.88429,0.84083,0.18737,0.35248,0.33778,0.78932,0,9.90472e-05,9.90472e-05,9.90472e-05
46,1223.77,0.20329,0.28944,0.23321,0.78411,0,0.88876,0.82692,0.88237,0.83252,0.88876,0.82692,0.88237,0.83032,0.1782,0.36141,0.33321,0.78662,0,8.3821e-05,8.3821e-05,8.3821e-05
47,1248.17,0.2021,0.2906,0.23316,0.79165,0,0.86827,0.82692,0.87544,0.83426,0.86827,0.82692,0.87544,0.82075,0.18702,0.34982,0.33641,0.789,0,6.85948e-05,6.85948e-05,6.85948e-05
48,1273.13,0.19925,0.28385,0.22516,0.78312,0,0.8834,0.83552,0.87295,0.82682,0.8834,0.83552,0.87295,0.83174,0.18367,0.35306,0.33407,0.7892,0,5.33686e-05,5.33686e-05,5.33686e-05
49,1298.79,0.1947,0.2881,0.223,0.7851,0,0.87265,0.82651,0.88315,0.83166,0.87265,0.82651,0.88315,0.82964,0.18078,0.35331,0.3397,0.79127,0,3.81424e-05,3.81424e-05,3.81424e-05
50,1323.36,0.18753,0.28074,0.21549,0.7887,0,0.88073,0.84257,0.88643,0.83844,0.88073,0.84257,0.88643,0.84311,0.17362,0.34556,0.32469,0.78714,0,2.29162e-05,2.29162e-05,2.29162e-05
